longitude,latitude
-122.46262550354004,37.77729554915761
-122.46196031570433,37.77731250925306
-122.46125221252441,37.777346429432264
-122.46069431304932,37.77739730967186
-122.46039927005768,37.7774057897084
-122.46001303195953,37.77742698979548
-122.45947659015656,37.77745242989193
-122.45890259742738,37.77751179008296
-122.45866656303406,37.77778739034552
-122.45866656303406,37.77833010785869
-122.45869874954222,37.77875410314348
-122.4587309360504,37.77922897497529
-122.45874166488649,37.779610566200944
-122.45879530906677,37.7800515136084
-122.45881676673888,37.78056029581
-122.45884895324706,37.78109451335266
-122.45895624160767,37.78187463362188
-122.45895624160767,37.78272258109746
-122.45897769927977,37.78307871613631
-122.4593424797058,37.78315503056424
-122.45963215827942,37.78315503056424
-122.4599540233612,37.783171989315306
-122.4601686000824,37.78312111305044
-122.46015787124634,37.782909128236575
-122.46014714241026,37.782773457636644
-122.4601364135742,37.78259538959627
-122.4601149559021,37.78234948540668
-122.46008276939392,37.782137498379704
-122.46006131172179,37.781933990261805
-122.46005058288574,37.78173896112303
-122.46001839637755,37.78154393146965
-122.46003985404968,37.78134890130165
-122.45999693870544,37.78121322783782
-122.4600076675415,37.78094188016301
-122.45999693870544,37.78075532805877
-122.45996475219727,37.78055181613535
-122.45994329452513,37.78033134425266
-122.45993256568909,37.780170229768665
-122.4599003791809,37.77994975674784
-122.45992183685303,37.77974624260648
